pid,technique,granularity,language,learnability
1,Autocompaste,Paragraph,English,-0.0597
1,Autocompaste,Paragraph,Latin,-0.392
1,Autocompaste,Phrase,English,-0.4346
1,Autocompaste,Phrase,Latin,-0.7755
1,Autocompaste,Sentence,English,-0.2065
1,Autocompaste,Sentence,Latin,-0.6286
1,Traditional,Paragraph,English,1.0195
1,Traditional,Paragraph,Latin,2.222
1,Traditional,Phrase,English,-1.1322
1,Traditional,Phrase,Latin,-0.9947
1,Traditional,Sentence,English,-0.2851
1,Traditional,Sentence,Latin,1.2262
2,Autocompaste,Paragraph,English,-0.1873
2,Autocompaste,Paragraph,Latin,0.7206
2,Autocompaste,Phrase,English,0.2444
2,Autocompaste,Phrase,Latin,0.0757
2,Autocompaste,Sentence,English,0.4263
2,Autocompaste,Sentence,Latin,-0.1187
2,Traditional,Paragraph,English,0.5142
2,Traditional,Paragraph,Latin,0.5983
2,Traditional,Phrase,English,0.1675
2,Traditional,Phrase,Latin,-0.3938
2,Traditional,Sentence,English,2.6148
2,Traditional,Sentence,Latin,3.1093
3,Autocompaste,Paragraph,English,-0.355
3,Autocompaste,Paragraph,Latin,-7.651
3,Autocompaste,Phrase,English,0.7363
3,Autocompaste,Phrase,Latin,-0.3162
3,Autocompaste,Sentence,English,-0.1056
3,Autocompaste,Sentence,Latin,-0.5448
3,Traditional,Paragraph,English,1.0241
3,Traditional,Paragraph,Latin,-0.7204
3,Traditional,Phrase,English,0.2525
3,Traditional,Phrase,Latin,-0.5751
3,Traditional,Sentence,English,-1.6807
3,Traditional,Sentence,Latin,-0.7594
4,Autocompaste,Paragraph,English,-1.0632
4,Autocompaste,Paragraph,Latin,-0.9145
4,Autocompaste,Phrase,English,0.0279
4,Autocompaste,Phrase,Latin,-0.6279
4,Autocompaste,Sentence,English,-0.0164
4,Autocompaste,Sentence,Latin,0.6269
4,Traditional,Paragraph,English,1.2341
4,Traditional,Paragraph,Latin,-0.8575
4,Traditional,Phrase,English,0.5619
4,Traditional,Phrase,Latin,0.1057
4,Traditional,Sentence,English,1.4519
4,Traditional,Sentence,Latin,2.2653
5,Autocompaste,Paragraph,English,0.1814
5,Autocompaste,Paragraph,Latin,-1.4221
5,Autocompaste,Phrase,English,0.6536
5,Autocompaste,Phrase,Latin,0.3732
5,Autocompaste,Sentence,English,-0.3317
5,Autocompaste,Sentence,Latin,0.4411
5,Traditional,Paragraph,English,-0.9922
5,Traditional,Paragraph,Latin,-0.4081
5,Traditional,Phrase,English,0.2569
5,Traditional,Phrase,Latin,-0.1304
5,Traditional,Sentence,English,0.8107
5,Traditional,Sentence,Latin,-0.268
6,Autocompaste,Paragraph,English,-2.2654
6,Autocompaste,Paragraph,Latin,0.2465
6,Autocompaste,Phrase,English,0.4946
6,Autocompaste,Phrase,Latin,-1.069
6,Autocompaste,Sentence,English,0.6929
6,Autocompaste,Sentence,Latin,-0.337
6,Traditional,Paragraph,English,-0.2335
6,Traditional,Paragraph,Latin,-2.7696
6,Traditional,Phrase,English,-3.404
6,Traditional,Phrase,Latin,-2.1271
6,Traditional,Sentence,English,-1.8182
6,Traditional,Sentence,Latin,-2.254
7,Autocompaste,Paragraph,English,0.1998
7,Autocompaste,Paragraph,Latin,0.1213
7,Autocompaste,Phrase,English,1.654
7,Autocompaste,Phrase,Latin,0.573
7,Autocompaste,Sentence,English,0.1351
7,Autocompaste,Sentence,Latin,0.3727
7,Traditional,Paragraph,English,-1.3116
7,Traditional,Paragraph,Latin,0.4321
7,Traditional,Phrase,English,-1.9532
7,Traditional,Phrase,Latin,0.4686
7,Traditional,Sentence,English,-0.2467
7,Traditional,Sentence,Latin,1.2216
8,Autocompaste,Paragraph,English,0.9996
8,Autocompaste,Paragraph,Latin,1.9335
8,Autocompaste,Phrase,English,1.015
8,Autocompaste,Phrase,Latin,-1.8477
8,Autocompaste,Sentence,English,0.1787
8,Autocompaste,Sentence,Latin,-0.8446
8,Traditional,Paragraph,English,-0.5813
8,Traditional,Paragraph,Latin,1.8361
8,Traditional,Phrase,English,-1.8899
8,Traditional,Phrase,Latin,0.0411
8,Traditional,Sentence,English,0.2855
8,Traditional,Sentence,Latin,-3.1116
9,Autocompaste,Paragraph,English,-0.5547
9,Autocompaste,Paragraph,Latin,-1.5552
9,Autocompaste,Phrase,English,-0.2821
9,Autocompaste,Phrase,Latin,-1.0981
9,Autocompaste,Sentence,English,-1.0739
9,Autocompaste,Sentence,Latin,-0.0572
9,Traditional,Paragraph,English,-6.535
9,Traditional,Paragraph,Latin,0.0299
9,Traditional,Phrase,English,0.8215
9,Traditional,Phrase,Latin,-2.5332
9,Traditional,Sentence,English,2.3585
9,Traditional,Sentence,Latin,-1.7306
10,Autocompaste,Paragraph,English,0.2934
10,Autocompaste,Paragraph,Latin,1.9627
10,Autocompaste,Phrase,English,1.3617
10,Autocompaste,Phrase,Latin,-1.5274
10,Autocompaste,Sentence,English,-1.0331
10,Autocompaste,Sentence,Latin,-0.3774
10,Traditional,Paragraph,English,0.236
10,Traditional,Paragraph,Latin,0.4643
10,Traditional,Phrase,English,-1.6707
10,Traditional,Phrase,Latin,0.9301
10,Traditional,Sentence,English,1.4641
10,Traditional,Sentence,Latin,-1.5004
11,Autocompaste,Paragraph,English,1.2101
11,Autocompaste,Paragraph,Latin,3.1243
11,Autocompaste,Phrase,English,1.6119
11,Autocompaste,Phrase,Latin,1.6565
11,Autocompaste,Sentence,English,-4.7031
11,Autocompaste,Sentence,Latin,-2.9032
11,Traditional,Paragraph,English,-0.641
11,Traditional,Paragraph,Latin,0.216
11,Traditional,Phrase,English,0.8879
11,Traditional,Phrase,Latin,-1.2248
11,Traditional,Sentence,English,-0.2267
11,Traditional,Sentence,Latin,6.4752
12,Autocompaste,Paragraph,English,1.0042
12,Autocompaste,Paragraph,Latin,1.836
12,Autocompaste,Phrase,English,3.4567
12,Autocompaste,Phrase,Latin,-3.4805
12,Autocompaste,Sentence,English,0.0559
12,Autocompaste,Sentence,Latin,0.9029
12,Traditional,Paragraph,English,-33.4
12,Traditional,Paragraph,Latin,0.7509
12,Traditional,Phrase,English,-0.6838
12,Traditional,Phrase,Latin,0.1682
12,Traditional,Sentence,English,0.4086
12,Traditional,Sentence,Latin,50.812